Date,Day,Date/Time,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Temp,Dew Point,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1-Hour Precip,3-Hour Precip,6-Hour Precip,Data Retrieval Date,Obs_Month,Obs_Year
2024-10-31,31,2024-10-31 02:53,02:53,EST,S  7,10.0,Fair,CLR,59.0,55.0,87.0,,,30.24,1023.5,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 03:53,03:53,EST,S  3,10.0,Fair,CLR,60.1,55.9,86.0,,,30.23,1023.1,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 05:53,05:53,EST,S  7,10.0,Fair,CLR,57.0,54.0,90.0,,,30.23,1023.1,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 06:53,06:53,EST,S  6,10.0,Fair,CLR,55.9,54.0,93.0,,,30.24,1023.5,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 07:53,07:53,EST,S  6,10.0,Fair,CLR,55.0,54.0,96.0,,,30.24,1023.5,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 08:53,08:53,EST,S  7,10.0,Fair,CLR,60.1,55.9,86.0,,,30.24,1023.5,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 09:53,09:53,EST,Calm,10.0,Fair,CLR,64.0,57.0,78.0,,,30.24,1023.6,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 10:53,10:53,EST,S  6,10.0,Fair,CLR,71.1,57.9,63.0,,,30.23,1023.1,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 11:53,11:53,EST,S  10,10.0,Fair,CLR,75.0,57.9,55.0,,78.0,30.21,1022.5,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 12:53,12:53,EST,S  10,10.0,Fair,CLR,78.1,57.9,50.0,,79.0,30.18,1021.4,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 13:53,13:53,EST,S  16,10.0,Fair,CLR,79.0,57.0,47.0,,80.0,30.15,1020.4,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 14:53,14:53,EST,S  17,10.0,Fair,CLR,80.1,57.0,45.0,,80.0,30.12,1019.4,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 15:53,15:53,EST,S  13  G 23,10.0,Fair,CLR,79.0,55.9,45.0,,80.0,30.11,1019.0,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 16:53,16:53,EST,S  16  G 23,10.0,Fair,CLR,78.1,55.9,47.0,,79.0,30.1,1018.6,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 17:53,17:53,EST,S  10  G 22,10.0,Fair,CLR,75.0,57.0,54.0,,78.0,30.1,1018.8,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 18:53,18:53,EST,S  10  G 21,10.0,Fair,CLR,72.0,55.9,57.0,,,30.11,1019.1,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 19:53,19:53,EST,S  12,10.0,Fair,CLR,71.1,55.0,57.0,,,30.11,1019.2,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 20:53,20:53,EST,S  10,10.0,Fair,CLR,69.1,55.0,61.0,,,30.1,1018.9,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 21:53,21:53,EST,S  8,10.0,Fair,CLR,66.0,55.0,68.0,,,30.1,1018.6,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 22:53,22:53,EST,S  8,10.0,Fair,CLR,66.0,55.9,70.0,,,30.09,1018.5,0.0,0.0,0.0,2024-11-03,10,2024
2024-10-31,31,2024-10-31 23:53,23:53,EST,S  9,10.0,Fair,CLR,68.0,55.0,63.0,,,30.08,1018.1,0.0,0.0,0.0,2024-11-03,10,2024
2024-11-01,1,2024-11-01 00:53,00:53,EST,S  13,10.0,Fair,CLR,66.9,55.0,66.0,,,30.08,1017.9,0.0,0.0,0.0,2024-11-03,11,2024
