first_name	last_name	gender	matriculation_year	matriculation_number	student_id	date_of_birth	college	class_of	level	level_for_sorting
Jill	Murray	F	2020	1	2020-1	2002-12-16	STC	2024	Se	3
Mary	Chase	F	2020	2	2020-2	2002-09-26	STM	2024	Se	3
Kelsey	Green	F	2020	3	2020-3	2002-05-18	STC	2024	Se	3
Karina	Dean	F	2020	4	2020-4	2002-11-15	STC	2024	Se	3
Karen	Williams	F	2020	5	2020-5	2002-06-21	STM	2024	Se	3
Caroline	Mathis	F	2020	6	2020-6	2002-05-18	STL	2024	Se	3
Linda	Lane	F	2020	7	2020-7	2002-11-16	STL	2024	Se	3
Madison	Levy	F	2020	8	2020-8	2002-05-20	STM	2024	Se	3
Julie	Mckinney	F	2020	9	2020-9	2002-04-11	STL	2024	Se	3
Amanda	Austin	F	2020	10	2020-10	2002-05-03	STB	2024	Se	3
Rebecca	Cuevas	F	2020	11	2020-11	2002-08-05	STL	2024	Se	3
Erin	Phillips	F	2020	12	2020-12	2002-02-27	STL	2024	Se	3
Robin	Moore	F	2020	13	2020-13	2002-05-10	STL	2024	Se	3
Lori	Weiss	F	2020	14	2020-14	2002-02-23	STB	2024	Se	3
Jennifer	Norris	F	2020	15	2020-15	2002-09-26	STM	2024	Se	3
Jordan	Castillo	F	2020	16	2020-16	2002-10-13	STC	2024	Se	3
Laura	Mccoy	F	2020	17	2020-17	2002-08-24	STL	2024	Se	3
Sherry	Miller	F	2020	18	2020-18	2002-09-12	STC	2024	Se	3
Stephanie	Jones	F	2020	19	2020-19	2002-07-22	STC	2024	Se	3
Kelly	Ellis	F	2020	20	2020-20	2002-09-18	STM	2024	Se	3
Amber	Rodriguez	F	2020	21	2020-21	2002-07-01	STM	2024	Se	3
Lauren	Jones	F	2020	22	2020-22	2002-10-22	STC	2024	Se	3
Heather	Kelly	F	2020	23	2020-23	2002-05-26	STM	2024	Se	3
Rebecca	Cuevas	F	2020	24	2020-24	2002-01-20	STB	2024	Se	3
Tracy	Stephens	F	2020	25	2020-25	2002-11-22	STB	2024	Se	3
Jessica	Brooks	F	2020	26	2020-26	2002-05-11	STB	2024	Se	3
Jessica	Adams	F	2020	27	2020-27	2002-09-08	STC	2024	Se	3
Heidi	Miller	F	2020	28	2020-28	2002-10-19	STB	2024	Se	3
Robin	Brown	F	2020	29	2020-29	2002-01-15	STL	2024	Se	3
Paula	Duarte	F	2020	30	2020-30	2002-08-14	STM	2024	Se	3
Mary	Pierce	F	2020	31	2020-31	2002-11-28	STM	2024	Se	3
Peggy	Morgan	F	2020	32	2020-32	2002-09-25	STL	2024	Se	3
Julie	Clay	F	2020	33	2020-33	2002-05-02	STL	2024	Se	3
Amanda	Davis	F	2020	34	2020-34	2002-06-28	STM	2024	Se	3
Mary	Ramos	F	2020	35	2020-35	2002-01-23	STB	2024	Se	3
Rachel	Rhodes	F	2020	36	2020-36	2002-01-15	STB	2024	Se	3
Sherri	Wright	F	2020	37	2020-37	2002-12-26	STC	2024	Se	3
Jessica	Lopez	F	2020	38	2020-38	2002-10-17	STB	2024	Se	3
Rita	Flynn	F	2020	39	2020-39	2002-10-07	STC	2024	Se	3
Elizabeth	Barrera	F	2020	40	2020-40	2002-10-17	STB	2024	Se	3
Barbara	Bauer	F	2020	41	2020-41	2002-07-01	STB	2024	Se	3
Elizabeth	Kim	F	2020	42	2020-42	2002-08-07	STB	2024	Se	3
Brandy	Gonzales	F	2020	43	2020-43	2002-03-10	STL	2024	Se	3
Vanessa	Rodriguez	F	2020	44	2020-44	2002-02-07	STM	2024	Se	3
Lori	Harris	F	2020	45	2020-45	2002-10-21	STC	2024	Se	3
Jamie	Martinez	F	2020	46	2020-46	2002-04-25	STM	2024	Se	3
Kimberly	Gardner	F	2020	47	2020-47	2002-06-08	STL	2024	Se	3
Deborah	Keller	F	2020	48	2020-48	2002-01-22	STL	2024	Se	3
Lauren	Reed	F	2020	49	2020-49	2002-01-10	STL	2024	Se	3
Raven	Stewart	F	2020	50	2020-50	2002-01-21	STB	2024	Se	3
Erika	Henry	F	2020	51	2020-51	2002-01-18	STM	2024	Se	3
Kelly	Hughes	F	2020	52	2020-52	2002-02-15	STL	2024	Se	3
Yesenia	Holmes	F	2020	53	2020-53	2002-04-16	STB	2024	Se	3
Kathleen	Harris	F	2020	54	2020-54	2002-04-21	STC	2024	Se	3
Amy	Gutierrez	F	2020	55	2020-55	2002-11-05	STB	2024	Se	3
Angela	Mcintyre	F	2020	56	2020-56	2002-07-28	STM	2024	Se	3
Julia	Gray	F	2020	57	2020-57	2002-06-19	STM	2024	Se	3
Brenda	Pope	F	2020	58	2020-58	2002-03-23	STC	2024	Se	3
Lori	Ryan	F	2020	59	2020-59	2002-01-14	STM	2024	Se	3
Ann	King	F	2020	60	2020-60	2002-08-12	STL	2024	Se	3
Jodi	Campbell	F	2020	61	2020-61	2002-10-20	STB	2024	Se	3
Lisa	Powell	F	2020	62	2020-62	2002-10-16	STL	2024	Se	3
Sarah	Vargas	F	2020	63	2020-63	2002-06-07	STM	2024	Se	3
Laura	Scott	F	2020	64	2020-64	2002-06-12	STC	2024	Se	3
Lisa	Jones	F	2020	65	2020-65	2002-06-11	STM	2024	Se	3
Renee	Schneider	F	2020	66	2020-66	2002-10-26	STB	2024	Se	3
Carmen	Smith	F	2020	67	2020-67	2002-10-21	STM	2024	Se	3
Melissa	Wilson	F	2020	68	2020-68	2002-08-15	STM	2024	Se	3
Veronica	Hughes	F	2020	69	2020-69	2002-09-28	STB	2024	Se	3
Nicole	Maldonado	F	2020	70	2020-70	2002-05-28	STC	2024	Se	3
Deborah	Reeves	F	2020	71	2020-71	2002-01-16	STL	2024	Se	3
Diana	Cox	F	2020	72	2020-72	2002-08-12	STM	2024	Se	3
Lisa	Barnes	F	2020	73	2020-73	2002-03-22	STM	2024	Se	3
Carrie	Vaughan	F	2020	74	2020-74	2002-12-10	STB	2024	Se	3
Elizabeth	Alvarez	F	2020	75	2020-75	2002-09-10	STC	2024	Se	3
Joanna	Silva	F	2020	76	2020-76	2002-07-17	STM	2024	Se	3
Whitney	Cantrell	F	2020	77	2020-77	2002-10-11	STL	2024	Se	3
Jocelyn	Smith	F	2020	78	2020-78	2002-09-09	STL	2024	Se	3
Deborah	Mckinney	F	2020	79	2020-79	2002-04-11	STL	2024	Se	3
Karen	Pham	F	2020	80	2020-80	2002-11-25	STM	2024	Se	3
Allison	Ward	F	2020	81	2020-81	2002-03-16	STM	2024	Se	3
Sandra	Walker	F	2020	82	2020-82	2002-11-08	STL	2024	Se	3
Holly	Carter	F	2020	83	2020-83	2002-04-13	STB	2024	Se	3
